Sigla ICAO Empresa Aérea;Empresa Aérea;Número Voo;Código DI;Código Tipo Linha;Modelo Equipamento;Número de Assentos;Sigla ICAO Aeroporto Origem;Descrição Aeroporto Origem;Partida Prevista;Partida Real;Sigla ICAO Aeroporto Destino;Descrição Aeroporto Destino;Chegada Prevista;Chegada Real;Situação Voo;Justificativa;Referência;Situação Partida;Situação Chegada
PAM;MAP TRANSPORTES AÉREOS LTDA.;5964;0;N;AT72;68;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;24/06/2022 19:10;24/06/2022 19:34;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;24/06/2022 20:20;24/06/2022 21:04;REALIZADO;;24/06/2022 00:00:00;Pontual;Atraso 30-60
PAM;MAP TRANSPORTES AÉREOS LTDA.;9804;7;N;AT45;47;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;;24/06/2022 00:06;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;;24/06/2022 01:15;REALIZADO;;24/06/2022 00:00:00;;
PAM;MAP TRANSPORTES AÉREOS LTDA.;9806;7;N;AT45;47;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;;24/06/2022 22:02;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;;24/06/2022 23:13;REALIZADO;;24/06/2022 00:00:00;;
PAM;MAP TRANSPORTES AÉREOS LTDA.;9808;7;N;AT45;47;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;;24/06/2022 07:54;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;;24/06/2022 09:03;REALIZADO;;24/06/2022 00:00:00;;
PAM;MAP TRANSPORTES AÉREOS LTDA.;9830;0;N;AT45;47;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;24/06/2022 08:00;;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;24/06/2022 09:10;;CANCELADO;;24/06/2022 00:00:00;;
PAM;MAP TRANSPORTES AÉREOS LTDA.;9832;0;N;AT45;47;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;24/06/2022 11:20;24/06/2022 11:10;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;24/06/2022 12:30;24/06/2022 12:26;REALIZADO;;24/06/2022 00:00:00;Antecipado;Antecipado
PAM;MAP TRANSPORTES AÉREOS LTDA.;9836;0;N;AT72;68;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;24/06/2022 08:40;24/06/2022 08:33;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;24/06/2022 09:50;24/06/2022 09:48;REALIZADO;;24/06/2022 00:00:00;Antecipado;Antecipado
PAM;MAP TRANSPORTES AÉREOS LTDA.;9838;0;N;AT72;68;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;24/06/2022 12:00;24/06/2022 11:55;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;24/06/2022 13:10;24/06/2022 13:11;REALIZADO;;24/06/2022 00:00:00;Antecipado;Pontual
PAM;MAP TRANSPORTES AÉREOS LTDA.;9840;0;N;AT45;47;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;24/06/2022 17:50;24/06/2022 18:11;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;24/06/2022 19:00;24/06/2022 19:27;REALIZADO;;24/06/2022 00:00:00;Pontual;Pontual
PAM;MAP TRANSPORTES AÉREOS LTDA.;5964;0;N;AT72;68;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;25/06/2022 08:00;25/06/2022 07:53;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;25/06/2022 09:10;25/06/2022 09:05;REALIZADO;;25/06/2022 00:00:00;Antecipado;Antecipado
